category,name,rating,year,url
Aile,Curtain Call, 8.4,2022,https://asyafanatiklerim.com/dizi/curtain-call/
Aile,Unicorn, 7.4,2022,https://asyafanatiklerim.com/dizi/unicorn/
Aile,My Liberation Notes, 9.1,2022,https://asyafanatiklerim.com/dizi/my-liberation-notes-tr1/
Aile,Our Blues, 9,2022,https://asyafanatiklerim.com/dizi/our-blues/
Aile,Hyori’s Homestay, 6.5,2017,https://asyafanatiklerim.com/dizi/hyoris-homestay-tr/
Aile,Graceful Friends, 7.8,2020,https://asyafanatiklerim.com/dizi/graceful-friends-tur4/
Aile,My Unfamiliar Family, 7.9,2020,https://asyafanatiklerim.com/dizi/my-unfamiliar-family-v2/
Aile,Love Is Drop By Drop, 8.1,2016,https://asyafanatiklerim.com/dizi/love-is-drop-by-drop/
Aile,Accidental Family, 6.9,2020,https://asyafanatiklerim.com/dizi/accidental-family/
Aile,The World of the Married, 8.7,2020,https://asyafanatiklerim.com/dizi/the-world-of-the-married-tur1/
Aile,Golden Cross, 7.1,2014,https://asyafanatiklerim.com/dizi/golden-cross/
Aile,Saraydaki Mücevher, 9.1,2003,https://asyafanatiklerim.com/dizi/saraydaki-mucevher/
Aile,Our Nineteen, 8.3,2020,https://asyafanatiklerim.com/dizi/our-nineteen/
Aile,XX (Blue Moon), 8.6,2020,https://asyafanatiklerim.com/dizi/xx-blue-moon/
Aile,Final Fantasy XIV Dad of Light, 6.7,2017,https://asyafanatiklerim.com/dizi/final-fantasy-xiv-dad-of-light/
Aile,Dear My Friends, 7.2,2016,https://asyafanatiklerim.com/dizi/dear-my-friends/
Gizem,The Escape of the Seven: Resurrection, 8.4,2024,https://asyafanatiklerim.com/dizi/the-escape-of-the-seven-resurrection/
Gizem,Hide, 7,2024,https://asyafanatiklerim.com/dizi/hide/
Gizem,Nothing Uncovered, 7.1,2024,https://asyafanatiklerim.com/dizi/nothing-uncovered/
Gizem,Wonderful World, 8.4,2024,https://asyafanatiklerim.com/dizi/wonderful-world/
Gizem,Grand Shining Hotel, 6.8,2024,https://asyafanatiklerim.com/dizi/grand-shining-hotel/
Gizem,A Killer Paradox, 7.7,2024,https://asyafanatiklerim.com/dizi/a-killer-paradox/
Gizem,Flex X Cop, 9.1,2024,https://asyafanatiklerim.com/dizi/flex-x-cop/
Gizem,A Shop for Killers, 9.4,2024,https://asyafanatiklerim.com/dizi/a-shop-for-killers/
Gizem,Knight Flower, 8.7,2024,https://asyafanatiklerim.com/dizi/knight-flower/
Gizem,My Happy Ending, 8.6,2023,https://asyafanatiklerim.com/dizi/my-happy-ending/
Gizem,Night Has Come, 8.9,2023,https://asyafanatiklerim.com/dizi/night-has-come/
Gizem,High Cookie, 8.1,2023,https://asyafanatiklerim.com/dizi/high-cookie/
Gizem,Evilive, 8.7,2023,https://asyafanatiklerim.com/dizi/evilive/
Gizem,7 Escape: War for Survival, 8.7,2023,https://asyafanatiklerim.com/dizi/7-escape-war-for-survival/
